mean_score,std_score,min_score,Q1_score,Median_score,Q3_score,max_score,mean_steps,std_steps,level_1_completion_rate,mean_level_reached,max_level_reached,timestep,run_name,agent_type
1747.2,612.0590848,600,1230,1650,2137.5,3090,814.26,119.3726548,0,0,0,4000000,DQN_Run_2,dqn
2640.4,680.584894,1220,2277.5,2660,3070,5460,878.38,139.0117196,0,0,0,4000000,DQN_Run_3,dqn
2393.1,594.9818688,1370,1780,2470,2820,3810,835.44,118.3863151,0,0,0,4000000,DQN_Run_4,dqn
1673.2,283.466564,980,1467.5,1630,1800,2870,754.86,137.4774927,0,0,0,4000000,DQN_Run_5,dqn
2785.8,782.662098,1660,2320,2605,3020,5550,840.84,129.0548955,0,0,0,4000000,DQN_Run_6,dqn
2829.1,790.0314468,1250,2380,2510,2780,5530,826.14,108.4540605,0,0,0,4000000,DQN_Run_7,dqn
2012.7,605.4597635,980,1507.5,1995,2442.5,4360,972.5,123.3123242,0,0,0,4000000,DQN_Run_8,dqn
1494,661.1055937,400,1085,1365,1692.5,4490,841.6,148.6095827,0,0,0,5000000,DQN_Run_1,dqn
1782,514.2926887,870,1360,1780,2042.5,3270,867.42,128.0329172,0,0,0,5000000,DQN_Run_2,dqn
1503.7,629.3682178,370,1290,1530,1850,3450,863.1,136.3730401,0,0,0,5000000,DQN_Run_3,dqn
1450.8,536.9059884,800,1127.5,1330,1572.5,4640,845.28,119.0022562,0,0,0,5000000,DQN_Run_4,dqn
2137.9,619.9141273,1170,1670,2020,2387.5,4340,808.06,144.430181,0,0,0,5000000,DQN_Run_5,dqn
2257.8,928.0451704,890,1620,1990,2735,5480,798.1,112.1875684,0,0,0,5000000,DQN_Run_6,dqn
2033.2,795.0997396,290,1445,1945,2462.5,4210,853.56,141.5984021,0,0,0,5000000,DQN_Run_7,dqn
2490.1,346.9739169,1960,2240,2280,2747.5,3220,842.68,95.35631001,0,0,0,5000000,DQN_Run_8,dqn
2414.5,605.924246,1400,1825,2445,2940,3950,833.08,118.852738,0,0,0,6000000,DQN_Run_2,dqn
2480.8,807.9387416,1220,2057.5,2400,2645,5540,852.12,135.4997693,0,0,0,6000000,DQN_Run_3,dqn
2259,481.7424183,1610,1940,2065,2462.5,4300,805.98,120.4907457,0,0,0,6000000,DQN_Run_4,dqn
1386.3,573.5212078,470,1045,1280,1695,4220,776.98,157.9631705,0,0,0,6000000,DQN_Run_5,dqn
2485.9,889.1536039,1380,1890,2225,2780,5060,853.2,125.4530376,0,0,0,6000000,DQN_Run_6,dqn
2643.2,568.9275397,1230,2440,2610,2875,5410,862.84,128.2742265,0,0,0,6000000,DQN_Run_7,dqn
2254.3,707.7368326,910,1830,2050,2462.5,5710,890.86,117.4580106,0,0,0,6000000,DQN_Run_8,dqn
769,292.9732639,340,550,715,872.5,1750,659.58,95.04418749,0,0,0,7000000,DQN_Run_2,dqn
3189.3,797.3329976,1690,2675,3075,3885,5620,943.2,119.1710425,0,0,0,7000000,DQN_Run_3,dqn
2483.6,224.0108222,2090,2370,2440,2550,3440,747.88,102.0652673,0,0,0,7000000,DQN_Run_4,dqn
2158,705.9072535,830,1647.5,2170,2665,3900,784.2,160.1784359,0,0,0,7000000,DQN_Run_5,dqn
2350.1,390.0440146,1450,2100,2355,2550,4740,940.72,104.6734296,0,0,0,7000000,DQN_Run_6,dqn
2577,888.0582609,1090,1897.5,2415,2995,5270,860.32,127.3383213,0,0,0,7000000,DQN_Run_7,dqn
2596.9,778.2039604,1130,2060,2500,3107.5,5500,924.98,144.4548079,0,0,0,7000000,DQN_Run_8,dqn
2763.4,300.4515793,1830,2590,2710,2965,3810,813.78,142.4651352,0,0,0,8000000,DQN_Run_2,dqn
3424.8,669.7270362,2550,2927.5,3345,3720,6370,964.8,121.1195252,0,0,0,8000000,DQN_Run_3,dqn
1870.1,563.5538299,1100,1482.5,1825,2132.5,4880,700.08,150.8176824,0,0,0,8000000,DQN_Run_4,dqn
2007.5,418.5433494,1310,1910,1950,2082.5,4190,752.26,111.4447474,0,0,0,8000000,DQN_Run_5,dqn
4289.9,846.8831685,2500,3817.5,4335,4702.5,7040,902.52,104.3924685,0,0,0,8000000,DQN_Run_6,dqn
2825.2,618.5572657,1710,2442.5,2775,3145,4660,913.88,128.4997567,0,0,0,8000000,DQN_Run_7,dqn
2505.8,587.6836571,1570,2105,2400,2775,4930,928.9,134.9802455,0,0,0,8000000,DQN_Run_8,dqn
1933.5,437.6114577,880,1640,1810,2210,3030,812.04,140.5540207,0,0,0,9000000,DQN_Run_2,dqn
3228.5,614.9392267,2360,2650,3110,3810,4930,889.66,138.5013744,0,0,0,9000000,DQN_Run_3,dqn
2225,492.7750732,1400,1867.5,2260,2412.5,4500,798.1,134.4193273,0,0,0,9000000,DQN_Run_4,dqn
3859,995.4801897,1340,3272.5,4120,4480,5720,792.98,155.3541396,0,0,0,9000000,DQN_Run_5,dqn
2402.5,678.2275995,1510,2007.5,2210,2622.5,4850,943.02,135.0652652,0,0,0,9000000,DQN_Run_6,dqn
3338.3,850.5506891,1380,2675,2925,4062.5,6150,882.94,149.347525,0,0,0,9000000,DQN_Run_7,dqn
2101.3,876.6610842,830,1472.5,1935,2620,5240,848.08,149.6078159,0,0,0,9000000,DQN_Run_8,dqn
2469.5,546.1460474,1000,2160,2490,2792.5,4060,818.94,128.225009,0,0,0,10000000,DQN_Run_1,dqn
3334.4,904.9776157,2290,2717.5,3025,3745,5810,900.88,131.2204776,0,0,0,10000000,DQN_Run_2,dqn
3223.5,804.4514726,1830,2780,3050,3345,6350,950.02,133.1903764,0,0,0,10000000,DQN_Run_3,dqn
2713.6,575.5463281,1410,2410,2660,2955,5540,749.06,136.0749808,0,0,0,10000000,DQN_Run_4,dqn
3258.2,833.3725809,2170,2487.5,3130,3975,5360,841.72,157.9138034,0,0,0,10000000,DQN_Run_5,dqn
3477.2,900.7562255,2300,2835,3090,4110,5530,913.56,135.1234617,0,0,0,10000000,DQN_Run_6,dqn
2451.4,966.6917656,420,1697.5,2515,2865,5540,859.82,119.9650101,0,0,0,10000000,DQN_Run_7,dqn
